loan_id,user_id,amount,created_at,status
1,1366,55813,2024-03-17,closed
2,9450,56257,2024-05-28,closed
3,202,143702,2024-08-09,closed
4,7403,58077,2024-09-19,closed
5,5787,89527,2023-09-04,approved
6,5113,127268,2024-11-08,approved
7,2725,38021,2024-07-16,closed
8,3065,164006,2024-10-16,closed
9,1457,48844,2024-06-21,closed
10,2834,144485,2024-04-04,approved
11,3145,171830,2023-11-29,approved
12,2637,90952,2023-11-30,approved
13,3237,95335,2025-04-28,closed
14,3097,85612,2024-11-11,closed
15,8898,91164,2024-04-25,approved
16,1879,174443,2024-06-01,defaulted
17,3284,118486,2024-08-28,closed
18,8596,195492,2023-11-12,closed
19,7544,120699,2023-12-28,closed
20,8348,107424,2024-08-10,closed
21,4908,37928,2025-02-05,approved
22,4482,95829,2025-03-30,closed
23,6371,92645,2024-01-18,closed
24,8617,127512,2024-11-09,closed
25,2808,169078,2025-04-11,closed
26,9137,31099,2023-11-03,closed
27,2244,40932,2023-12-03,defaulted
28,9328,39414,2025-02-19,approved
29,3945,102714,2024-10-11,approved
30,9996,35099,2024-03-24,defaulted
31,4934,147401,2025-05-13,closed
32,7075,84702,2024-09-03,defaulted
33,2895,76499,2025-03-03,approved
34,7292,100638,2023-10-31,defaulted
35,6530,68123,2024-12-21,closed
36,6464,26536,2025-02-16,closed
37,7368,115619,2023-09-03,defaulted
38,8521,156935,2023-07-10,closed
39,5442,77649,2024-01-29,closed
40,5818,175482,2023-11-07,approved
41,8777,136912,2024-08-31,approved
42,4069,59167,2023-08-09,closed
43,886,194014,2023-10-03,closed
44,8135,77759,2025-03-20,closed
45,5452,198481,2025-04-22,approved
46,5328,132633,2024-06-28,closed
47,3416,46865,2024-05-17,approved
48,5603,96190,2025-03-30,closed
49,9549,34392,2024-04-27,approved
50,5253,184468,2024-03-05,closed
51,7091,98623,2024-02-19,approved
52,1619,112184,2024-05-21,closed
53,9618,132069,2025-02-17,defaulted
54,2077,94032,2023-12-10,closed
55,7118,171617,2025-05-05,approved
56,648,96180,2024-02-04,defaulted
57,5240,87467,2025-01-19,defaulted
58,7501,62540,2024-03-18,defaulted
59,6486,91596,2024-01-19,approved
60,5153,43000,2024-07-08,approved
61,5002,28155,2025-04-05,defaulted
62,6695,125149,2025-02-11,approved
63,9999,159572,2024-08-17,closed
64,1534,196662,2024-06-21,closed
65,4517,105747,2025-04-22,closed
66,6732,105895,2025-03-20,closed
67,4954,125567,2024-02-24,closed
68,7419,61230,2024-01-24,closed
69,4780,40206,2023-10-18,defaulted
70,4161,143477,2025-04-24,approved
71,9546,197948,2024-09-06,closed
72,5431,137356,2025-02-26,approved
73,1104,21503,2024-07-12,closed
74,4454,139678,2023-12-01,defaulted
75,9761,126811,2023-07-19,closed
76,176,74181,2025-02-08,defaulted
77,9273,107255,2025-05-09,approved
78,172,96898,2025-04-21,defaulted
79,1704,31864,2024-07-23,defaulted
80,3485,123147,2024-02-08,approved
81,7932,73826,2024-12-07,closed
82,4819,125470,2024-08-31,closed
83,7704,194756,2025-02-26,approved
84,6499,171083,2024-01-30,approved
85,6315,184465,2023-07-27,closed
86,42,65920,2025-05-08,defaulted
87,5576,196739,2025-02-20,closed
88,7710,162706,2025-03-07,closed
89,4024,48670,2024-12-17,closed
90,7484,123156,2024-01-05,approved
91,1927,199501,2025-02-08,defaulted
92,9017,177354,2024-10-07,closed
93,3709,198296,2024-04-01,closed
94,3675,81838,2023-11-10,approved
95,7135,174569,2024-01-07,approved
