payment_id,loan_id,due_date,paid_date,amount_paid
1,1,2024-04-26,2024-04-26,4646
2,1,2025-03-23,2025-03-28,9906
3,2,2025-01-14,2025-01-14,9711
4,2,2024-08-02,2024-08-02,5610
5,2,2024-12-19,2024-12-29,6319
6,2,2025-01-13,2025-01-13,9075
7,3,2025-03-12,2025-03-12,8559
8,3,2025-06-18,2025-06-18,8633
9,3,2025-05-08,2025-05-08,8798
10,4,2025-03-23,2025-03-23,2184
11,5,2025-03-02,2025-03-12,3542
12,5,2024-02-28,2024-02-28,3125
13,5,2024-06-07,2024-06-07,4442
14,5,2024-02-23,2024-02-28,6915
15,6,2025-01-05,2025-01-05,8957
16,6,2024-12-30,2024-12-30,9369
17,6,2025-01-06,2025-01-06,6374
18,6,2025-04-30,2025-04-30,2235
19,7,2025-05-31,2025-06-05,7615
20,8,2024-12-23,2024-12-28,2763
21,8,2025-04-17,2025-04-17,2261
22,8,2024-12-20,2024-12-25,6293
23,9,2025-05-11,2025-05-11,4935
24,10,2025-01-22,2025-01-27,2896
25,10,2024-04-29,2024-04-29,9198
26,11,2024-01-19,2024-01-24,6735
27,11,2025-04-25,2025-04-25,2922
28,11,2024-12-15,2024-12-15,7074
29,11,2025-01-30,2025-01-30,4375
30,12,2024-12-17,2024-12-22,8786
31,12,2024-09-27,2024-10-02,5766
32,13,2025-06-19,2025-06-19,4807
33,13,2025-06-20,2025-06-20,9199
34,13,2025-05-08,2025-05-08,6797
35,14,2025-04-21,2025-05-01,7072
36,15,2025-04-04,2025-04-04,8553
37,15,2024-06-26,2024-07-06,5950
38,15,2024-12-14,2024-12-14,5087
39,15,2025-01-19,2025-01-19,8367
40,16,2025-04-24,2025-05-04,3836
41,16,2025-04-29,2025-04-29,2268
42,16,2025-01-02,2025-01-02,6119
43,16,2024-06-08,2024-06-08,5926
44,17,2024-09-23,2024-09-28,2306
45,17,2025-02-14,2025-02-24,4926
46,18,2025-06-20,2025-06-30,9161
47,18,2024-06-21,2024-06-26,6016
48,18,2025-05-29,2025-06-03,7082
49,18,2025-01-31,2025-02-05,3309
50,19,2024-12-15,2024-12-15,9006
51,19,2024-08-22,2024-08-22,2193
52,19,2025-01-19,2025-01-19,3839
53,20,2024-12-17,2024-12-27,9749
54,20,2025-05-11,2025-05-16,9126
55,21,2025-03-15,2025-03-15,8933
56,21,2025-03-11,2025-03-16,2828
57,21,2025-03-10,2025-03-10,8669
58,22,2025-05-09,2025-05-14,6191
59,22,2025-04-09,2025-04-09,4091
60,23,2025-05-21,2025-05-26,7597
61,23,2024-12-16,2024-12-16,5003
62,24,2024-11-10,2024-11-15,7455
63,24,2025-04-08,2025-04-18,9477
64,24,2024-12-11,2024-12-11,8710
65,24,2025-06-21,2025-06-26,2067
66,25,2025-06-19,2025-06-24,6150
67,25,2025-05-06,2025-05-06,3439
68,25,2025-05-16,2025-05-16,4757
69,25,2025-05-16,2025-05-21,6089
70,26,2025-01-07,2025-01-12,4442
71,26,2023-11-21,2023-11-26,7175
72,27,2025-02-25,2025-02-25,9833
73,27,2025-02-01,2025-02-06,2789
74,27,2025-04-15,2025-04-15,7490
75,27,2025-03-24,2025-03-29,5155
76,28,2025-06-20,2025-06-20,8121
77,28,2025-03-06,2025-03-11,2154
78,29,2025-03-25,2025-04-04,8899
79,29,2024-12-19,2024-12-24,2926
80,29,2024-10-13,2024-10-13,9163
81,30,2024-11-23,2024-11-23,8785
82,30,2025-02-02,2025-02-07,5659
83,30,2024-09-17,2024-09-17,9858
84,30,2024-04-07,2024-04-12,7061
85,31,2025-05-26,2025-05-31,4061
86,31,2025-05-26,2025-05-26,3737
87,31,2025-06-05,2025-06-05,6891
88,31,2025-05-28,2025-06-07,9891
89,32,2024-12-22,2024-12-22,8293
90,33,2025-04-22,2025-04-27,3300
91,33,2025-06-04,2025-06-04,4164
92,33,2025-06-10,2025-06-10,8026
93,33,2025-03-21,2025-03-26,8645
94,34,2024-04-10,2024-04-10,9569
95,34,2024-05-09,2024-05-09,3685
96,34,2023-12-18,2023-12-18,3180
97,34,2024-05-26,2024-06-05,4303
98,35,2025-03-01,2025-03-01,6992
99,35,2025-04-03,2025-04-03,3532
100,35,2025-01-26,2025-01-26,2477
101,36,2025-05-03,2025-05-08,2814
102,36,2025-03-31,2025-03-31,2284
103,36,2025-04-30,2025-05-10,5018
104,36,2025-02-21,2025-02-26,7506
105,37,2025-04-18,2025-04-28,5154
106,38,2023-07-18,2023-07-18,2979
107,39,2025-01-11,2025-01-21,3922
108,40,2024-10-27,2024-10-27,8957
109,40,2024-01-30,2024-02-09,4034
110,40,2024-09-20,2024-09-20,8123
111,41,2024-09-27,2024-10-02,9804
112,41,2025-06-12,2025-06-17,5508
113,41,2024-11-25,2024-11-25,5899
114,42,2024-11-21,2024-11-26,2284
115,43,2025-05-11,2025-05-11,6977
116,44,2025-04-10,2025-04-20,9823
117,44,2025-06-08,2025-06-13,5973
118,44,2025-04-07,2025-04-17,7173
119,44,2025-04-15,2025-04-25,5228
120,45,2025-06-21,2025-06-26,8977
121,45,2025-04-22,2025-04-27,7867
122,45,2025-05-16,2025-05-16,8795
123,45,2025-05-21,2025-05-21,2069
124,46,2025-01-08,2025-01-13,5743
125,46,2025-06-09,2025-06-14,2809
126,47,2024-06-15,2024-06-25,6433
127,47,2024-09-21,2024-09-21,9024
128,47,2024-12-11,2024-12-21,5907
129,47,2025-04-07,2025-04-07,6702
130,48,2025-04-07,2025-04-12,9130
131,48,2025-04-30,2025-05-05,9943
132,49,2025-04-15,2025-04-15,3091
133,49,2024-10-09,2024-10-14,9000
134,49,2024-07-02,2024-07-02,2666
135,50,2024-06-21,2024-06-21,8221
136,51,2025-01-03,2025-01-03,4474
137,51,2024-08-07,2024-08-07,3368
138,51,2025-04-18,2025-04-23,3906
139,51,2025-04-12,2025-04-17,5707
140,52,2024-08-09,2024-08-14,5155
141,53,2025-03-16,2025-03-16,9227
142,53,2025-06-22,2025-06-27,9816
143,53,2025-06-10,2025-06-20,7247
144,53,2025-03-18,2025-03-23,6776
145,54,2024-12-03,2024-12-13,2121
146,54,2024-03-17,2024-03-27,4238
147,55,2025-05-23,2025-05-23,5293
148,55,2025-06-18,2025-06-18,3209
149,56,2025-05-07,2025-05-12,9842
150,56,2025-04-22,2025-04-22,9257
151,56,2025-05-09,2025-05-19,8743
152,57,2025-02-25,2025-03-02,8351
153,57,2025-03-16,2025-03-21,5901
154,58,2025-03-27,2025-04-01,4542
155,58,2024-05-19,2024-05-24,9992
156,59,2024-08-07,2024-08-07,6864
157,59,2024-10-28,2024-11-02,8072
158,60,2024-12-05,2024-12-05,8832
159,60,2025-05-27,2025-06-06,6783
160,60,2025-05-02,2025-05-02,8543
161,61,2025-04-26,2025-05-06,9171
162,61,2025-04-16,2025-04-16,4644
163,62,2025-04-22,2025-04-22,9143
164,62,2025-02-26,2025-03-08,4744
165,63,2025-05-26,2025-06-05,6178
166,63,2025-04-30,2025-04-30,8922
167,63,2025-06-11,2025-06-21,8056
168,64,2025-03-21,2025-03-21,5993
169,64,2025-01-21,2025-01-21,5780
170,64,2025-03-20,2025-03-20,3936
171,65,2025-05-25,2025-06-04,3303
172,65,2025-05-03,2025-05-13,3780
173,65,2025-05-30,2025-06-09,5093
174,65,2025-04-24,2025-04-29,2152
175,66,2025-06-11,2025-06-21,2710
176,66,2025-06-04,2025-06-14,8858
177,66,2025-06-05,2025-06-05,4165
178,66,2025-06-17,2025-06-22,8286
179,67,2024-04-28,2024-04-28,2785
180,68,2025-04-26,2025-04-26,7312
181,68,2024-11-05,2024-11-05,7334
182,68,2024-10-22,2024-10-27,8845
183,68,2024-06-23,2024-07-03,5716
184,69,2025-05-27,2025-06-06,2893
185,70,2025-06-02,2025-06-02,8275
186,70,2025-04-28,2025-04-28,4034
187,70,2025-05-17,2025-05-27,5572
188,70,2025-05-22,2025-05-22,9437
189,71,2024-09-26,2024-10-06,9646
190,71,2025-03-17,2025-03-27,5265
191,71,2025-05-18,2025-05-23,4607
192,72,2025-06-22,2025-06-22,5334
193,72,2025-04-06,2025-04-16,7222
194,72,2025-02-26,2025-02-26,7938
195,72,2025-02-27,2025-02-27,7457
196,73,2024-12-02,2024-12-12,4784
197,73,2025-02-11,2025-02-11,9484
198,73,2024-09-19,2024-09-19,6090
199,73,2024-12-30,2025-01-09,5624
200,74,2025-06-13,2025-06-13,9833
201,74,2025-01-02,2025-01-02,4013
202,75,2023-11-13,2023-11-13,6206
203,75,2025-01-31,2025-01-31,8384
204,75,2023-10-20,2023-10-30,7788
205,76,2025-05-15,2025-05-15,2563
206,77,2025-05-14,2025-05-14,5857
207,77,2025-06-15,2025-06-15,5029
208,77,2025-06-13,2025-06-13,5778
209,78,2025-05-24,2025-06-03,2093
210,78,2025-05-09,2025-05-14,4659
211,78,2025-04-24,2025-04-24,5154
212,78,2025-06-03,2025-06-03,3745
213,79,2024-11-03,2024-11-03,4008
214,79,2024-08-07,2024-08-12,8781
215,80,2024-03-23,2024-03-28,6319
216,80,2024-09-09,2024-09-14,8187
217,81,2025-03-25,2025-04-04,2980
218,82,2025-05-19,2025-05-19,8932
219,82,2024-10-20,2024-10-25,6784
220,83,2025-03-31,2025-04-05,5293
221,83,2025-04-30,2025-04-30,9566
222,83,2025-04-08,2025-04-08,3776
223,83,2025-03-21,2025-03-31,5019
224,84,2025-01-24,2025-01-29,4597
225,84,2024-05-18,2024-05-18,2822
226,85,2023-12-24,2023-12-24,5038
227,85,2024-01-28,2024-01-28,5134
228,85,2025-05-31,2025-06-05,7470
229,86,2025-05-22,2025-05-27,6231
230,86,2025-06-12,2025-06-17,3368
231,86,2025-06-10,2025-06-10,3048
232,87,2025-06-06,2025-06-06,4755
233,87,2025-04-07,2025-04-07,5774
234,87,2025-04-18,2025-04-18,4060
235,88,2025-05-04,2025-05-14,5223
236,89,2025-03-24,2025-03-24,2954
237,89,2025-06-06,2025-06-06,9690
238,90,2024-07-04,2024-07-04,5872
239,90,2025-06-03,2025-06-08,3031
240,91,2025-03-25,2025-03-30,8033
241,91,2025-05-04,2025-05-04,7736
242,92,2025-03-31,2025-03-31,3462
243,92,2025-06-11,2025-06-11,2370
244,92,2025-03-12,2025-03-12,8890
245,93,2024-10-06,2024-10-06,9811
246,93,2024-07-26,2024-07-26,7327
247,94,2025-05-20,2025-05-20,5971
248,94,2023-11-28,2023-12-08,5535
249,95,2024-10-01,2024-10-06,4405
250,95,2024-03-12,2024-03-12,7480
251,95,2024-10-01,2024-10-11,8026
252,96,2025-04-23,2025-04-28,3143
253,96,2025-06-07,2025-06-17,7570
254,96,2025-03-11,2025-03-11,5924
255,97,2023-12-17,2023-12-17,8201
256,97,2023-12-02,2023-12-02,8342
257,97,2025-01-11,2025-01-11,8406
258,98,2025-05-26,2025-05-26,5251
259,98,2025-06-06,2025-06-11,7357
260,99,2025-03-17,2025-03-17,9995
261,99,2025-03-10,2025-03-15,9413
262,100,2025-04-29,2025-04-29,7334
263,101,2025-05-26,2025-05-31,4759
264,101,2025-02-08,2025-02-08,6321
265,101,2025-02-20,2025-02-20,4879
266,101,2025-01-02,2025-01-02,4705
267,102,2024-04-29,2024-05-09,8648
268,102,2024-07-31,2024-08-05,9130
269,103,2024-08-07,2024-08-17,4996
270,103,2024-11-01,2024-11-11,5259
271,103,2024-09-30,2024-10-05,3590
272,103,2024-05-30,2024-05-30,6310
273,104,2024-08-01,2024-08-06,7395
274,104,2025-01-04,2025-01-14,6670
275,105,2024-10-29,2024-11-08,2090
276,106,2024-06-17,2024-06-17,5511
277,106,2024-05-15,2024-05-15,7007
278,106,2025-01-19,2025-01-19,8319
279,106,2024-05-16,2024-05-16,8069
280,107,2024-11-21,2024-11-26,6545
281,107,2025-01-19,2025-01-19,7852
282,107,2025-02-06,2025-02-06,6465
283,107,2025-03-24,2025-03-24,8729
284,108,2024-03-19,2024-03-29,5338
285,108,2023-11-07,2023-11-17,6942
286,109,2025-03-26,2025-03-31,4811
287,109,2024-11-29,2024-12-04,7157
288,110,2024-05-27,2024-06-01,9594
289,111,2024-09-13,2024-09-13,8362
290,112,2025-04-29,2025-05-09,2261
291,112,2025-05-18,2025-05-28,9409
292,112,2025-05-08,2025-05-13,6669
293,113,2025-04-24,2025-04-24,9282
294,114,2024-01-01,2024-01-01,9728
295,114,2025-05-19,2025-05-29,6631
296,115,2024-11-26,2024-12-01,5389
297,115,2024-01-24,2024-02-03,2241
298,115,2025-02-15,2025-02-15,8425
299,115,2024-12-08,2024-12-08,7570
300,116,2025-05-20,2025-05-20,4341
301,116,2025-06-03,2025-06-03,6033
302,117,2025-05-10,2025-05-10,3197
303,117,2025-06-19,2025-06-19,3232
304,117,2025-06-14,2025-06-24,6127
305,118,2025-01-06,2025-01-11,9566
306,118,2025-05-12,2025-05-17,5291
307,118,2025-03-18,2025-03-28,8205
308,119,2025-03-25,2025-04-04,4532
309,119,2025-04-29,2025-04-29,9548
310,119,2025-06-14,2025-06-14,9374
311,120,2024-12-21,2024-12-21,8124
312,121,2024-12-12,2024-12-22,5594
313,121,2023-12-08,2023-12-18,6963
314,121,2024-09-02,2024-09-02,5455
315,122,2025-06-19,2025-06-19,9235
316,123,2024-02-12,2024-02-17,2190
317,123,2024-11-26,2024-11-26,7749
318,123,2024-12-11,2024-12-11,8484
319,123,2025-02-18,2025-02-28,9424
320,124,2024-12-24,2025-01-03,8062
321,124,2025-01-14,2025-01-14,5894
322,124,2025-02-21,2025-03-03,3170
323,124,2025-01-14,2025-01-14,3754
324,125,2025-06-20,2025-06-20,2690
325,125,2025-06-05,2025-06-10,9629
326,125,2025-06-13,2025-06-13,7136
327,125,2025-06-09,2025-06-09,3166
328,126,2024-09-01,2024-09-06,8817
329,126,2024-05-01,2024-05-06,8325
330,126,2024-11-19,2024-11-19,5004
331,126,2024-09-11,2024-09-11,7024
332,127,2024-08-29,2024-09-03,4379
333,127,2024-12-12,2024-12-22,6348
334,127,2024-06-05,2024-06-10,2788
335,128,2025-06-13,2025-06-23,6105
336,129,2025-04-28,2025-04-28,9831
337,130,2024-09-27,2024-09-27,4126
338,131,2024-12-02,2024-12-02,2762
339,132,2023-11-21,2023-11-21,5985
340,133,2024-08-31,2024-08-31,6498
341,134,2024-06-15,2024-06-15,3367
342,134,2024-06-08,2024-06-08,7804
343,134,2024-05-18,2024-05-23,2929
344,134,2025-02-28,2025-03-10,2754
345,135,2025-06-21,2025-06-21,5398
346,135,2025-02-21,2025-02-26,3140
347,135,2025-03-24,2025-04-03,9290
348,135,2025-04-30,2025-04-30,4996
349,136,2025-05-25,2025-05-25,4175
350,136,2025-03-10,2025-03-10,4500
351,136,2024-10-05,2024-10-05,4628
352,136,2025-05-16,2025-05-16,3258
353,137,2025-01-08,2025-01-13,7915
354,137,2025-02-08,2025-02-18,8862
355,137,2024-12-31,2024-12-31,2751
356,137,2025-06-22,2025-07-02,9580
357,138,2025-06-03,2025-06-03,2093
358,138,2025-06-18,2025-06-18,2899
359,138,2025-05-18,2025-05-28,4152
360,139,2025-05-26,2025-05-26,4493
361,139,2025-04-06,2025-04-06,3564
362,140,2025-01-09,2025-01-09,8727
363,140,2024-08-03,2024-08-03,4753
364,140,2024-12-10,2024-12-10,2805
365,141,2024-09-11,2024-09-21,6337
366,141,2025-06-16,2025-06-16,9842
367,142,2024-02-14,2024-02-14,8958
368,143,2025-05-29,2025-05-29,8061
369,143,2025-05-02,2025-05-12,5565
370,143,2025-05-29,2025-05-29,8887
371,144,2024-08-02,2024-08-12,9424
372,144,2025-04-06,2025-04-06,9060
373,144,2025-01-10,2025-01-10,7023
374,145,2024-01-02,2024-01-02,7621
375,146,2024-08-21,2024-08-26,6847
376,146,2024-11-13,2024-11-23,8673
377,147,2025-06-10,2025-06-10,6867
378,147,2025-05-23,2025-05-23,5942
379,147,2025-06-21,2025-07-01,6322
380,147,2025-05-17,2025-05-17,7746
381,148,2024-11-17,2024-11-17,9413
382,149,2024-12-12,2024-12-22,6950
383,149,2025-04-08,2025-04-13,7109
384,150,2024-09-03,2024-09-13,6715
385,150,2025-06-19,2025-06-29,3981
386,151,2023-12-16,2023-12-16,9193
387,151,2024-07-18,2024-07-18,8170
388,152,2023-09-13,2023-09-13,8176
389,153,2024-10-03,2024-10-08,8063
390,153,2024-11-26,2024-12-01,8229
391,153,2024-06-16,2024-06-26,9325
392,154,2025-02-02,2025-02-07,5404
393,154,2024-08-24,2024-08-24,7363
394,155,2025-06-01,2025-06-01,2849
395,156,2024-03-13,2024-03-13,7227
396,156,2023-12-02,2023-12-02,4857
397,157,2025-04-19,2025-04-24,9427
398,157,2025-06-17,2025-06-27,9424
399,158,2025-04-23,2025-05-03,3096
400,158,2024-12-22,2025-01-01,7225
401,158,2025-01-21,2025-01-21,9411
402,158,2025-06-11,2025-06-11,9851
403,159,2025-03-13,2025-03-23,2220
404,159,2024-01-28,2024-01-28,5322
405,159,2024-01-25,2024-01-25,8203
406,160,2025-02-12,2025-02-22,7560
407,160,2025-03-28,2025-03-28,8481
408,160,2024-02-09,2024-02-19,3698
409,160,2024-10-22,2024-10-22,2064
410,161,2025-05-17,2025-05-17,6448
411,162,2025-01-23,2025-01-23,4681
412,162,2023-10-25,2023-11-04,5811
413,163,2024-12-21,2024-12-31,9305
414,163,2025-01-28,2025-01-28,5100
415,163,2025-06-03,2025-06-03,7607
416,164,2025-02-24,2025-02-24,4684
417,164,2024-05-30,2024-06-04,9425
418,165,2025-06-21,2025-06-21,7676
419,165,2025-04-09,2025-04-09,8336
420,165,2025-06-05,2025-06-05,5983
421,165,2024-12-20,2024-12-30,7030
422,166,2025-05-23,2025-06-02,6275
423,166,2025-05-06,2025-05-06,3057
424,167,2025-03-12,2025-03-17,5817
425,167,2025-02-18,2025-02-18,8856
426,167,2025-04-29,2025-04-29,5033
427,168,2025-05-10,2025-05-10,8811
428,169,2024-05-14,2024-05-19,8732
429,169,2025-04-09,2025-04-09,8978
430,169,2023-09-12,2023-09-17,7088
431,169,2024-03-07,2024-03-12,8586
432,170,2025-02-02,2025-02-07,5314
433,170,2025-06-12,2025-06-17,4644
434,170,2025-05-10,2025-05-15,9026
435,170,2024-12-29,2024-12-29,4586
436,171,2024-11-30,2024-12-05,8056
437,171,2025-03-02,2025-03-02,4617
438,172,2025-06-15,2025-06-15,2269
439,172,2025-02-19,2025-02-19,7890
440,172,2025-03-16,2025-03-16,7302
441,172,2025-05-18,2025-05-23,9131
442,173,2025-06-03,2025-06-08,7632
443,174,2025-02-22,2025-02-22,6880
444,174,2025-05-19,2025-05-24,8486
445,175,2024-04-11,2024-04-11,4526
446,175,2025-01-10,2025-01-10,7393
447,175,2025-02-09,2025-02-09,8055
448,176,2025-05-09,2025-05-14,9708
449,176,2024-06-03,2024-06-03,2757
450,176,2024-06-11,2024-06-21,4649
451,177,2025-02-15,2025-02-25,4197
452,178,2025-05-29,2025-05-29,7685
453,178,2023-11-02,2023-11-02,3958
454,178,2024-08-22,2024-08-22,3309
455,178,2024-11-28,2024-11-28,6923
456,179,2024-05-16,2024-05-21,5495
457,180,2025-02-23,2025-02-23,9845
458,180,2023-11-05,2023-11-15,7321
459,181,2025-02-24,2025-02-24,4619
460,181,2024-12-12,2024-12-22,5089
461,182,2024-07-15,2024-07-20,8617
462,183,2025-03-27,2025-03-27,8667
463,184,2025-01-27,2025-02-06,9419
464,184,2024-11-07,2024-11-12,2682
465,184,2024-09-27,2024-10-07,4556
466,185,2025-03-19,2025-03-19,9562
467,186,2024-09-13,2024-09-18,3391
468,187,2025-05-28,2025-05-28,2003
469,187,2025-03-28,2025-03-28,2013
470,188,2024-05-13,2024-05-23,5446
471,189,2025-05-19,2025-05-19,5247
472,189,2025-01-30,2025-01-30,9022
473,189,2024-09-29,2024-09-29,3570
474,190,2025-06-21,2025-06-21,4369
475,190,2024-11-07,2024-11-07,2648
476,190,2024-12-03,2024-12-13,7984
477,190,2025-05-18,2025-05-18,2745
478,191,2025-05-07,2025-05-12,2157
479,191,2025-01-01,2025-01-06,9534
480,191,2024-12-18,2024-12-18,4821
481,192,2024-08-01,2024-08-11,3435
482,192,2024-09-19,2024-09-29,8329
483,193,2024-09-08,2024-09-08,5586
484,194,2024-11-15,2024-11-15,9824
485,194,2024-10-15,2024-10-25,5549
486,194,2024-09-09,2024-09-19,4887
487,194,2025-02-02,2025-02-02,8249
488,195,2024-05-25,2024-06-04,8869
489,195,2024-05-27,2024-06-06,2198
