txn_id,user_id,amount,txn_date,type
1,1,52726,2025-05-05,credit
2,1,53429,2025-05-31,credit
3,1,28622,2025-03-22,credit
4,1,63248,2025-03-27,credit
5,1,50964,2025-02-10,credit
6,1,85179,2025-02-01,credit
7,1,30036,2025-04-16,credit
8,1,34924,2025-05-30,credit
9,2,17656,2025-01-17,credit
10,2,61895,2025-04-01,credit
11,2,42707,2024-12-26,credit
12,2,8325,2025-06-08,credit
13,2,22005,2025-04-20,credit
14,2,11597,2024-12-29,credit
15,2,73753,2024-12-26,credit
16,2,49647,2025-02-25,credit
17,3,10101,2025-05-05,credit
18,3,63136,2025-02-20,credit
19,3,41611,2025-06-05,credit
20,3,56352,2025-02-21,credit
21,3,73570,2025-01-06,credit
22,3,54183,2025-02-06,credit
23,3,60864,2025-05-31,credit
24,4,15630,2025-02-01,credit
25,4,19711,2025-05-21,credit
26,4,48622,2025-03-19,credit
27,4,86469,2025-04-24,credit
28,4,69557,2025-04-23,credit
29,4,57764,2025-02-24,credit
30,4,72327,2025-04-24,credit
31,4,52368,2025-04-26,credit
32,5,58291,2025-01-19,credit
33,5,46896,2025-03-06,credit
34,5,89524,2025-02-06,credit
35,5,85672,2025-02-12,credit
36,5,77876,2025-03-03,credit
37,5,44453,2025-01-25,credit
38,5,48896,2025-01-09,credit
39,6,53849,2025-06-01,credit
40,6,25426,2025-06-01,credit
41,6,14053,2025-06-17,credit
42,6,26906,2025-05-14,credit
43,6,23233,2025-05-25,credit
44,6,38185,2025-03-10,credit
45,6,57917,2025-01-15,credit
46,6,52577,2025-05-08,credit
47,6,87997,2025-02-26,credit
48,6,89412,2025-01-11,credit
49,7,50821,2025-01-22,credit
50,7,82430,2025-03-07,credit
51,7,75616,2024-12-28,credit
52,7,18852,2025-06-20,credit
53,7,7606,2025-05-10,credit
54,7,13680,2025-06-12,credit
55,8,27745,2025-04-19,credit
56,8,65320,2025-04-28,credit
57,8,46588,2025-01-06,credit
58,8,65940,2025-05-04,credit
59,9,85502,2025-01-04,credit
60,9,54074,2025-01-23,credit
61,9,43295,2025-04-09,credit
62,9,56809,2025-05-28,credit
63,9,65488,2025-03-11,credit
64,9,80229,2025-05-27,credit
65,9,27844,2025-06-15,credit
66,9,32212,2025-03-25,credit
67,9,12030,2025-06-01,credit
68,9,23941,2025-01-15,credit
69,10,8565,2025-05-26,credit
70,10,78639,2025-01-02,credit
71,10,7676,2025-01-02,credit
72,10,6019,2025-03-04,credit
73,10,64959,2025-04-16,credit
74,10,66583,2024-12-30,credit
75,10,88791,2025-01-22,credit
76,10,72960,2025-01-13,credit
77,10,74847,2025-03-22,credit
78,10,19265,2025-02-17,credit
79,11,61696,2025-03-13,credit
80,11,46984,2025-06-09,credit
81,11,40336,2025-03-11,credit
82,11,45222,2025-02-28,credit
83,11,69255,2025-03-04,credit
84,11,59602,2025-04-30,credit
85,12,15772,2025-05-01,credit
86,12,35357,2025-01-25,credit
87,12,86801,2025-05-27,credit
88,12,67029,2025-06-21,credit
89,12,9529,2025-05-24,credit
90,12,75783,2025-01-14,credit
91,12,41001,2025-03-24,credit
92,13,67722,2025-05-30,credit
93,13,32131,2025-02-24,credit
94,13,48227,2025-04-18,credit
95,13,19441,2024-12-31,credit
96,13,8174,2025-01-29,credit
97,14,39496,2025-02-13,credit
98,14,78621,2025-06-13,credit
99,14,50977,2025-02-14,credit
100,14,38370,2025-03-07,credit
101,15,26610,2025-01-07,credit
102,15,52670,2025-02-23,credit
103,15,55941,2025-03-31,credit
104,16,55989,2025-03-03,credit
105,16,69370,2025-04-10,credit
106,16,32390,2025-03-12,credit
107,16,38017,2025-05-11,credit
108,17,54821,2025-04-18,credit
109,17,83180,2024-12-24,credit
110,17,8188,2025-05-22,credit
111,17,19939,2025-01-16,credit
112,17,18773,2025-05-11,credit
113,18,79685,2025-05-27,credit
114,18,37061,2025-05-19,credit
115,18,17573,2025-03-29,credit
116,18,6979,2025-02-28,credit
117,18,18628,2025-04-20,credit
118,18,45861,2024-12-27,credit
119,18,88193,2025-06-05,credit
120,18,39046,2025-06-20,credit
121,18,9226,2025-01-02,credit
122,18,30271,2025-03-13,credit
123,19,86964,2025-01-15,credit
124,19,70704,2025-05-31,credit
125,19,54132,2025-02-17,credit
126,19,42094,2025-02-27,credit
127,19,57578,2025-01-24,credit
128,19,30512,2025-03-15,credit
129,19,8180,2025-06-16,credit
130,20,62221,2025-03-26,credit
131,20,65348,2025-01-25,credit
132,20,12450,2024-12-25,credit
133,20,85082,2025-06-22,credit
134,20,68592,2025-05-10,credit
135,20,82398,2025-01-14,credit
136,21,34576,2025-02-06,credit
137,21,79305,2025-06-07,credit
138,21,22226,2025-04-07,credit
139,22,65401,2025-02-05,credit
140,22,74873,2025-05-31,credit
141,22,60305,2025-05-03,credit
142,22,7754,2025-04-01,credit
143,22,8176,2025-04-20,credit
144,22,25708,2025-01-29,credit
145,22,83043,2025-04-11,credit
146,22,15340,2025-03-16,credit
147,22,14619,2025-06-08,credit
148,23,24212,2025-02-28,credit
149,23,29050,2025-02-21,credit
150,23,68993,2025-04-27,credit
151,23,30800,2025-06-10,credit
152,23,65454,2025-04-17,credit
153,23,51087,2025-04-19,credit
154,23,12177,2025-02-04,credit
155,24,58062,2025-03-10,credit
156,24,16540,2024-12-23,credit
157,24,15937,2025-05-27,credit
158,24,20524,2025-05-02,credit
159,24,7020,2025-04-21,credit
160,24,26817,2025-01-29,credit
161,24,47784,2025-01-05,credit
162,24,70075,2025-01-17,credit
163,24,36750,2025-05-31,credit
164,25,65707,2025-05-18,credit
165,25,28686,2025-03-09,credit
166,25,44610,2025-06-18,credit
167,25,11946,2025-04-21,credit
168,25,9064,2025-02-18,credit
169,26,6724,2025-03-01,credit
170,26,5534,2025-04-12,credit
171,26,80691,2025-01-18,credit
172,27,62963,2025-06-13,credit
173,27,46300,2025-06-19,credit
174,27,40322,2025-01-21,credit
175,27,24814,2025-03-07,credit
176,27,13272,2025-04-08,credit
177,27,28472,2025-04-08,credit
178,27,77713,2025-05-07,credit
179,27,80230,2025-01-01,credit
180,27,65407,2025-02-24,credit
181,28,64613,2025-02-10,credit
182,28,64943,2025-06-04,credit
183,28,89657,2025-05-05,credit
184,28,73480,2025-04-09,credit
185,28,32337,2025-01-24,credit
186,28,45763,2025-05-12,credit
187,29,16316,2025-02-25,credit
188,29,14663,2024-12-26,credit
189,29,25831,2025-05-15,credit
190,29,48425,2025-01-14,credit
191,29,21890,2025-04-20,credit
192,29,39702,2025-05-31,credit
193,29,49337,2025-04-14,credit
194,29,89772,2025-02-05,credit
195,29,63068,2025-06-20,credit
196,29,18765,2025-04-03,credit
197,30,8922,2025-02-14,credit
198,30,79271,2025-03-14,credit
199,30,63492,2025-01-15,credit
200,30,64067,2025-06-04,credit
201,30,73496,2025-04-06,credit
202,30,12491,2025-06-13,credit
203,30,51330,2025-05-11,credit
204,30,47191,2025-04-20,credit
205,30,81934,2025-04-21,credit
206,30,78729,2025-05-11,credit
207,31,60560,2025-04-06,credit
208,31,18120,2025-01-01,credit
209,31,15872,2025-01-15,credit
210,31,70211,2025-06-22,credit
211,31,16182,2025-01-26,credit
212,31,48621,2025-05-22,credit
213,31,75285,2025-05-30,credit
214,31,39605,2025-02-26,credit
215,31,67003,2025-03-19,credit
216,31,74956,2025-02-20,credit
217,32,87075,2025-06-13,credit
218,32,10496,2025-01-06,credit
219,32,47341,2025-02-04,credit
220,32,6118,2024-12-26,credit
221,32,33863,2025-02-25,credit
222,32,83018,2025-05-02,credit
223,32,29549,2025-01-16,credit
224,32,25214,2025-02-07,credit
225,32,19161,2025-03-06,credit
226,33,16756,2025-02-18,credit
227,33,35658,2025-02-09,credit
228,33,25393,2025-02-20,credit
229,34,64987,2025-04-14,credit
230,34,50661,2025-03-29,credit
231,34,33329,2025-06-20,credit
232,34,52980,2025-05-19,credit
233,34,58679,2025-01-01,credit
234,34,54740,2025-01-09,credit
235,34,65906,2025-01-24,credit
236,34,88442,2025-02-16,credit
237,34,40884,2025-05-09,credit
238,34,63616,2024-12-24,credit
239,35,42076,2025-04-16,credit
240,35,88805,2025-01-16,credit
241,35,48361,2025-06-21,credit
242,35,7098,2025-06-22,credit
243,36,65960,2025-06-17,credit
244,36,75293,2025-06-08,credit
245,36,23582,2025-04-19,credit
246,36,86899,2025-01-17,credit
247,36,16899,2025-01-13,credit
248,36,31477,2025-04-10,credit
249,36,47841,2025-04-21,credit
250,37,62878,2025-06-03,credit
251,37,20975,2025-05-14,credit
252,37,68599,2025-06-02,credit
253,38,81019,2025-03-14,credit
254,38,42755,2024-12-25,credit
255,38,14104,2025-01-26,credit
256,38,66186,2025-02-23,credit
257,38,21793,2025-04-21,credit
258,38,52979,2025-01-21,credit
259,38,82365,2025-02-11,credit
260,38,50121,2025-04-28,credit
261,38,19316,2025-03-31,credit
262,39,40284,2025-06-04,credit
263,39,49469,2025-05-27,credit
264,39,70452,2024-12-22,credit
265,39,19214,2025-04-25,credit
266,39,30902,2025-02-17,credit
267,39,27088,2025-04-10,credit
268,39,31625,2025-04-18,credit
269,40,26229,2025-02-14,credit
270,40,82900,2025-05-28,credit
271,40,63321,2025-05-01,credit
272,40,75023,2025-01-28,credit
273,40,42438,2025-03-27,credit
274,40,73985,2025-04-22,credit
275,41,31966,2025-05-05,credit
276,41,60434,2025-05-18,credit
277,41,85539,2025-04-10,credit
278,41,50932,2025-04-14,credit
279,41,84219,2025-05-29,credit
280,41,79193,2025-05-06,credit
281,41,72535,2025-03-13,credit
282,41,74943,2025-02-24,credit
283,42,36295,2025-02-24,credit
284,42,88094,2025-05-02,credit
285,42,74437,2025-01-26,credit
286,43,19277,2025-05-27,credit
287,43,71535,2025-03-05,credit
288,43,6131,2025-06-08,credit
289,43,56428,2025-05-22,credit
290,43,66814,2025-02-26,credit
291,43,33949,2024-12-23,credit
292,44,46066,2025-04-26,credit
293,44,23835,2025-04-17,credit
294,44,74327,2025-03-14,credit
295,44,89549,2025-05-17,credit
296,44,83541,2025-05-26,credit
297,44,60188,2025-04-02,credit
298,44,24859,2025-04-27,credit
299,45,39379,2025-03-19,credit
300,45,56722,2025-05-01,credit
301,45,78206,2025-04-19,credit
302,45,30079,2025-01-24,credit
303,45,14237,2025-01-14,credit
304,45,17700,2025-04-30,credit
305,45,12547,2025-06-16,credit
306,46,71785,2025-05-11,credit
307,46,45668,2025-02-13,credit
308,46,61293,2025-06-19,credit
309,46,28211,2025-02-23,credit
